participant,technique,target_number,tct_ms,accidental_ratio,error_rate,hand_movement_m,hand_rotation_deg,success_rate,n_trials,inverse_efficiency_ms
0,FullDH,2,4423.573333333334,4.444444444444445,13.333333333333334,0.37055333333333335,174.22,60.0,15,7372.622222222223
0,FullDH,4,4525.473333333333,1.3333333333333333,7.111111111111112,0.4323066666666667,131.46133333333333,73.33333333333333,15,6171.1
0,FullDH,6,4473.46,3.571428571428571,13.46031746031746,0.38375333333333334,157.66066666666666,53.333333333333336,15,8387.737500000001
0,SemiDwell,2,4596.873333333334,4.444444444444445,13.333333333333334,0.39746,150.49133333333333,60.0,15,7661.455555555557
0,SemiDwell,4,4704.78,2.6666666666666665,5.777777777777778,0.43298,156.6906666666667,80.0,15,5880.974999999999
0,SemiDwell,6,4558.033333333334,5.714285714285714,6.412698412698414,0.38567999999999997,158.078,66.66666666666666,15,6837.050000000002
0,SemiNDH,2,4458.153333333334,0.0,4.444444444444445,0.36166666666666664,138.72933333333333,86.66666666666667,15,5144.0230769230775
0,SemiNDH,4,4518.8,3.555555555555556,1.3333333333333333,0.3845266666666667,133.16933333333333,93.33333333333333,15,4841.571428571429
0,SemiNDH,6,4318.3533333333335,3.8095238095238098,6.857142857142858,0.40401333333333334,139.12,60.0,15,7197.255555555556
0,SemiSwipe,2,4401.88,6.666666666666667,6.666666666666667,0.41514,126.84133333333332,80.0,15,5502.349999999999
0,SemiSwipe,4,4329.96,6.222222222222223,4.888888888888889,0.4058733333333333,171.74266666666665,80.0,15,5412.45
0,SemiSwipe,6,4751.293333333333,1.9047619047619049,7.047619047619048,0.4805,161.43666666666667,53.333333333333336,15,8908.675
0,SemiTilt,2,4755.366666666667,2.2222222222222223,22.22222222222222,0.33252,165.83933333333334,60.0,15,7925.611111111111
0,SemiTilt,4,4515.713333333333,4.0,4.0,0.4320866666666667,138.42733333333334,80.0,15,5644.641666666666
0,SemiTilt,6,4347.026666666667,3.571428571428571,9.142857142857142,0.3860133333333333,134.194,46.666666666666664,15,9315.057142857144
1,FullDH,2,6371.006666666667,0.0,15.555555555555555,0.48602666666666666,153.804,66.66666666666666,15,9556.510000000002
1,FullDH,4,6465.259999999999,5.333333333333333,11.777777777777779,0.34376666666666666,150.23999999999998,60.0,15,10775.433333333332
1,FullDH,6,6530.5,1.9047619047619049,7.365079365079366,0.4028066666666667,166.3646666666667,60.0,15,10884.166666666668
1,SemiDwell,2,6595.2266666666665,2.2222222222222223,24.444444444444446,0.4593933333333334,166.696,53.333333333333336,15,12366.05
1,SemiDwell,4,6730.58,4.0,10.444444444444446,0.4161066666666667,142.81666666666666,66.66666666666666,15,10095.870000000003
1,SemiDwell,6,6622.259999999999,4.761904761904762,13.142857142857142,0.33168000000000003,139.96,40.0,15,16555.649999999998
1,SemiNDH,2,6531.14,0.0,22.222222222222225,0.4429133333333333,164.5993333333333,60.0,15,10885.233333333334
1,SemiNDH,4,6718.5,4.0,7.555555555555556,0.40686,135.54266666666666,66.66666666666666,15,10077.750000000002
1,SemiNDH,6,6893.873333333333,7.936507936507937,6.412698412698413,0.40346,147.36333333333332,66.66666666666666,15,10340.810000000001
1,SemiSwipe,2,6176.042857142857,2.380952380952381,9.523809523809524,0.3402785714285714,168.13642857142855,85.71428571428571,14,7205.383333333334
1,SemiSwipe,4,6467.16,2.6666666666666665,8.88888888888889,0.35124666666666665,149.6906666666667,60.0,15,10778.6
1,SemiSwipe,6,6602.259999999999,2.857142857142857,3.619047619047619,0.4163733333333333,178.52866666666665,80.0,15,8252.824999999999
1,SemiTilt,2,6590.1866666666665,3.3333333333333335,8.88888888888889,0.4229733333333333,119.962,73.33333333333333,15,8986.618181818183
1,SemiTilt,4,6381.586666666667,1.3333333333333333,4.888888888888889,0.39679333333333333,149.852,80.0,15,7976.983333333334
1,SemiTilt,6,6497.8133333333335,0.9523809523809524,4.190476190476191,0.38447333333333333,156.59266666666664,73.33333333333333,15,8860.654545454547
2,FullDH,2,5108.553333333333,0.0,17.77777777777778,0.42791333333333337,148.8046666666667,73.33333333333333,15,6966.209090909091
2,FullDH,4,5151.413333333333,6.222222222222223,4.0,0.4240933333333333,140.804,80.0,15,6439.2666666666655
2,FullDH,6,5296.733333333334,1.9047619047619049,3.8095238095238098,0.36743333333333333,154.09,73.33333333333333,15,7222.818181818183
2,SemiDwell,2,5376.5599999999995,4.444444444444445,6.666666666666667,0.46503333333333335,163.06,80.0,15,6720.699999999999
2,SemiDwell,4,5132.1466666666665,5.333333333333333,7.555555555555556,0.40137999999999996,150.934,66.66666666666666,15,7698.220000000001
2,SemiDwell,6,5250.413333333333,4.761904761904762,9.968253968253968,0.3741066666666667,162.11599999999999,53.333333333333336,15,9844.525
