dv,factor,a,b,mean_a,mean_b,diff,stat_kind,stat,p_uncorrected,p_bonferroni,n_pairs_in_family
tct_ms,technique,FullDH,SemiDwell,5088.346740740742,5094.75,-6.403259259258448,t,-0.2864224887352449,0.7765908670716591,1.0,10
tct_ms,technique,FullDH,SemiNDH,5088.346740740742,5097.40948148148,-9.062740740738263,t,-0.39185594526928746,0.6980295242605347,1.0,10
tct_ms,technique,FullDH,SemiSwipe,5088.346740740742,5114.925291005291,-26.57855026454945,t,-1.1394585385860059,0.2638366199439453,1.0,10
tct_ms,technique,FullDH,SemiTilt,5088.346740740742,5106.774529100529,-18.427788359787883,t,-0.8672552985642967,0.392921846964456,1.0,10
tct_ms,technique,SemiDwell,SemiNDH,5094.75,5097.40948148148,-2.6594814814798156,t,-0.11282383444212392,0.9109476142888733,1.0,10
tct_ms,technique,SemiDwell,SemiSwipe,5094.75,5114.925291005291,-20.175291005291,t,-0.8567664275001368,0.39859872928514267,1.0,10
tct_ms,technique,SemiDwell,SemiTilt,5094.75,5106.774529100529,-12.024529100529435,t,-0.5111936594133409,0.613085687098371,1.0,10
tct_ms,technique,SemiNDH,SemiSwipe,5097.40948148148,5114.925291005291,-17.515809523811185,t,-0.7215164548495745,0.47636923459718605,1.0,10
tct_ms,technique,SemiNDH,SemiTilt,5097.40948148148,5106.774529100529,-9.36504761904962,t,-0.3747335068900149,0.710585168527686,1.0,10
tct_ms,technique,SemiSwipe,SemiTilt,5114.925291005291,5106.774529100529,8.150761904761566,t,0.35197249856797314,0.7274037706463382,1.0,10
tct_ms,target_number,2,4,5080.313269841269,5102.740533333333,-22.427263492063503,t,-1.3280806212757452,0.1945099607307837,0.5835298821923511,3
tct_ms,target_number,2,6,5080.313269841269,5118.269822222223,-37.956552380954236,t,-1.767794834703033,0.08761671503137686,0.26285014509413057,3
tct_ms,target_number,4,6,5102.740533333333,5118.269822222223,-15.529288888890733,t,-0.7304668087321124,0.4709653946090315,1.0,3
accidental_ratio,technique,FullDH,SemiDwell,3.8830687830687842,3.8292768959435626,0.05379188712522165,W,229.0,0.9426074825817241,1.0,10
accidental_ratio,technique,FullDH,SemiNDH,3.8830687830687842,3.9763508096841425,-0.09328202661535823,W,227.0,0.9192965272814035,1.0,10
accidental_ratio,technique,FullDH,SemiSwipe,3.8830687830687842,4.262610229276897,-0.37954144620811237,W,181.0,0.2988441474735737,1.0,10
accidental_ratio,technique,FullDH,SemiTilt,3.8830687830687842,3.4971781305114638,0.38589065255732047,W,162.0,0.15188691951334476,1.0,10
accidental_ratio,technique,SemiDwell,SemiNDH,3.8292768959435626,3.9763508096841425,-0.14707391374057988,W,230.0,0.9589890887069709,1.0,10
accidental_ratio,technique,SemiDwell,SemiSwipe,3.8292768959435626,4.262610229276897,-0.433333333333334,W,179.0,0.28008678182959557,1.0,10
accidental_ratio,technique,SemiDwell,SemiTilt,3.8292768959435626,3.4971781305114638,0.3320987654320988,W,173.0,0.22855282202363014,1.0,10
accidental_ratio,technique,SemiNDH,SemiSwipe,3.9763508096841425,4.262610229276897,-0.28625941959275414,W,166.0,0.26545303243391527,1.0,10
accidental_ratio,technique,SemiNDH,SemiTilt,3.9763508096841425,3.4971781305114638,0.4791726791726787,W,150.0,0.09194962680339813,0.9194962680339813,10
accidental_ratio,technique,SemiSwipe,SemiTilt,4.262610229276897,3.4971781305114638,0.7654320987654328,W,111.0,0.021282319155343083,0.21282319155343082,10
accidental_ratio,target_number,2,4,3.677671957671959,3.8400000000000003,-0.1623280423280411,W,170.5,0.4592276485870532,1.0,3
accidental_ratio,target_number,2,6,3.677671957671959,4.151418951418951,-0.47374699374699203,W,149.0,0.08587095353025363,0.2576128605907609,3
accidental_ratio,target_number,4,6,3.8400000000000003,4.151418951418951,-0.31141895141895093,W,159.0,0.1305814624272777,0.3917443872818331,3
error_rate,technique,FullDH,SemiDwell,10.01410934744268,9.757671957671958,0.2564373897707224,W,214.5,0.711203751107048,1.0,10
