dv,factor,a,b,mean_a,mean_b,diff,stat_kind,stat,p_uncorrected,p_bonferroni,n_pairs_in_family
effort,technique,FullDH,SemiDwell,2.8333333333333335,3.066666666666667,-0.2333333333333334,W,170.5,0.6544256654469106,1.0,10
effort,technique,FullDH,SemiNDH,2.8333333333333335,3.2333333333333334,-0.3999999999999999,W,143.5,0.4135693351519565,1.0,10
effort,technique,FullDH,SemiSwipe,2.8333333333333335,2.966666666666667,-0.1333333333333333,W,178.5,0.7995599224143586,1.0,10
effort,technique,FullDH,SemiTilt,2.8333333333333335,3.066666666666667,-0.2333333333333334,W,125.5,0.7013118670984617,1.0,10
effort,technique,SemiDwell,SemiNDH,3.066666666666667,3.2333333333333334,-0.16666666666666652,W,177.0,0.7710840634043519,1.0,10
effort,technique,SemiDwell,SemiSwipe,3.066666666666667,2.966666666666667,0.10000000000000009,W,166.0,0.8079658691314283,1.0,10
effort,technique,SemiDwell,SemiTilt,3.066666666666667,3.066666666666667,0.0,W,174.5,0.9795158735250761,1.0,10
effort,technique,SemiNDH,SemiSwipe,3.2333333333333334,2.966666666666667,0.2666666666666666,W,157.0,0.4374288205566905,1.0,10
effort,technique,SemiNDH,SemiTilt,3.2333333333333334,3.066666666666667,0.16666666666666652,W,184.0,0.6628333576131411,1.0,10
effort,technique,SemiSwipe,SemiTilt,2.966666666666667,3.066666666666667,-0.10000000000000009,W,206.5,0.8102385460401323,1.0,10
frustration,technique,FullDH,SemiDwell,2.966666666666667,3.2,-0.2333333333333334,W,121.5,0.6124464360760731,1.0,10
frustration,technique,FullDH,SemiNDH,2.966666666666667,2.6333333333333333,0.3333333333333335,W,162.0,0.7300676096195509,1.0,10
frustration,technique,FullDH,SemiSwipe,2.966666666666667,2.6666666666666665,0.30000000000000027,W,127.5,0.5172658166531782,1.0,10
frustration,technique,FullDH,SemiTilt,2.966666666666667,2.6333333333333333,0.3333333333333335,W,107.5,0.5353662130956461,1.0,10
frustration,technique,SemiDwell,SemiNDH,3.2,2.6333333333333333,0.5666666666666669,W,129.0,0.36377909674224174,1.0,10
frustration,technique,SemiDwell,SemiSwipe,3.2,2.6666666666666665,0.5333333333333337,W,117.5,0.13458984306573382,1.0,10
frustration,technique,SemiDwell,SemiTilt,3.2,2.6333333333333333,0.5666666666666669,W,139.0,0.3515134751131238,1.0,10
frustration,technique,SemiNDH,SemiSwipe,2.6333333333333333,2.6666666666666665,-0.033333333333333215,W,138.0,1.0,1.0,10
frustration,technique,SemiNDH,SemiTilt,2.6333333333333333,2.6333333333333333,0.0,W,174.0,0.9694411982915515,1.0,10
frustration,technique,SemiSwipe,SemiTilt,2.6666666666666665,2.6333333333333333,0.033333333333333215,W,175.5,1.0,1.0,10
mental,technique,FullDH,SemiDwell,2.9,3.066666666666667,-0.16666666666666696,W,154.0,0.5813626869869186,1.0,10
mental,technique,FullDH,SemiNDH,2.9,2.6,0.2999999999999998,W,151.5,0.539216300513389,1.0,10
mental,technique,FullDH,SemiSwipe,2.9,2.8666666666666667,0.033333333333333215,W,174.0,0.9694162645428596,1.0,10
mental,technique,FullDH,SemiTilt,2.9,3.1,-0.20000000000000018,W,157.0,0.6359230236183846,1.0,10
mental,technique,SemiDwell,SemiNDH,3.066666666666667,2.6,0.4666666666666668,W,131.5,0.4019928311710155,1.0,10
