dv,Source,SS,ddof1,ddof2,MS,F,p_unc,p_GG_corr,ng2,eps
tct_ms,technique,39398.127222078576,4,116,9849.531805519644,0.4020626618786708,0.8068320266223442,0.8032751857233911,0.00010103008242115165,0.9810186793095977
tct_ms,target_number,109242.04148924926,2,58,54621.02074462463,1.8235247643442936,0.17059065450312902,0.17384368108005754,0.0002800832646580783,0.924257500087182
tct_ms,technique * target_number,196185.5451183566,8,232,24523.193139794574,1.0750618589060976,0.3813583089683107,0.37604403507191003,0.0005028837000315505,0.6024999359394654
accidental_ratio,technique,27.39048699968377,4,116,6.847621749920942,1.3243811475336975,0.2650357979729999,0.2696550651055406,0.012721554402664374,0.835852081293654
accidental_ratio,target_number,17.388418535662417,2,58,8.694209267831209,1.820888541275156,0.17101430759337619,0.17136866308522772,0.008113770434479941,0.9918028598390505
accidental_ratio,technique * target_number,15.609605591173569,8,232,1.9512006988966961,0.4410121871111281,0.8955430077934481,0.8372403219653192,0.007289792845971746,0.6930251104222945
error_rate,technique,18.8283105176227,4,116,4.707077629405675,0.18214734243876593,0.9472560160863109,0.9399207911593414,0.001946957280886568,0.9400387833177415
error_rate,target_number,3661.72322947286,2,58,1830.86161473643,78.17362990533167,3.4434332744833553e-17,2.1852861948684182e-13,0.2750377724080218,0.7447209947932207
error_rate,technique * target_number,158.53764228324962,8,232,19.817205285406203,0.9519580313705787,0.4745462296192168,0.4397799042802112,0.016160254868316345,0.5264240964992674
inverse_efficiency_ms,technique,20032623.595380425,4,116,5008155.898845106,1.3219568176902696,0.2659334248336294,0.2722419392130718,0.008430985588030659,0.7595653128951102
inverse_efficiency_ms,target_number,143136104.5381875,2,58,71568052.26909375,20.48578586955476,1.860408280208985e-07,2.890553881869308e-07,0.05727334511120994,0.9643984521282649
inverse_efficiency_ms,technique * target_number,19426894.652267814,8,232,2428361.8315334767,0.7880533332880839,0.6136377320326403,0.5368195473387627,0.008178141666746404,0.5074174477727392
hand_movement_m,technique,0.005568733023685454,4,116,0.0013921832559213635,0.8462102529219082,0.4987050309556341,0.49095965447510825,0.0076924860273625195,0.9188270295366268
hand_movement_m,target_number,0.010653567535160464,2,58,0.005326783767580232,2.4661319386051668,0.0937744483806541,0.09705016197007026,0.014613880189031592,0.9471608977036766
hand_movement_m,technique * target_number,0.017116888880133244,8,232,0.0021396111100166555,1.3485868051264036,0.22045448767799514,0.23988924497476946,0.023273507383917008,0.7262927288820471
hand_rotation_deg,technique,204.98395435613267,4,116,51.24598858903317,0.20854640215412018,0.9332366244106378,0.9141646200476186,0.0019518121971996705,0.8718666659543493
hand_rotation_deg,target_number,179.86284476165855,2,58,89.93142238082928,0.340951104036219,0.7125092344680667,0.7123826114606863,0.0017130242598892113,0.9994020843326958
hand_rotation_deg,technique * target_number,1256.0570446148997,8,232,157.00713057686247,0.6612530126431242,0.7253148437201815,0.6618543422890362,0.011841389678486944,0.6609714030766595
