participant,technique,target_number,tct_ms,accidental_ratio,error_rate,hand_movement_m,hand_rotation_deg,success_rate,n_trials,inverse_efficiency_ms
0,FullDH,2,5823.573333333334,4.444444444444445,13.333333333333334,0.37055333333333335,174.22,60.0,15,9705.955555555556
0,FullDH,4,7325.473333333333,1.3333333333333333,7.111111111111112,0.4323066666666667,131.46133333333333,73.33333333333333,15,9989.281818181818
0,FullDH,6,8673.46,3.571428571428571,13.46031746031746,0.38375333333333334,157.66066666666666,53.333333333333336,15,16262.7375
0,SemiDwell,2,6496.873333333334,4.444444444444445,13.333333333333334,0.39746,150.49133333333333,60.0,15,10828.122222222224
0,SemiDwell,4,8004.78,2.6666666666666665,5.777777777777778,0.43298,156.6906666666667,80.0,15,10005.974999999999
0,SemiDwell,6,9258.033333333333,5.714285714285714,6.412698412698414,0.38567999999999997,158.078,66.66666666666666,15,13887.050000000003
0,SemiNDH,2,6108.153333333334,0.0,4.444444444444445,0.36166666666666664,138.72933333333333,86.66666666666667,15,7047.869230769231
0,SemiNDH,4,7568.8,3.555555555555556,1.3333333333333333,0.3845266666666667,133.16933333333333,93.33333333333333,15,8109.4285714285725
0,SemiNDH,6,8768.353333333333,3.8095238095238098,6.857142857142858,0.40401333333333334,139.12,60.0,15,14613.922222222222
0,SemiSwipe,2,6551.88,6.666666666666667,6.666666666666667,0.41514,126.84133333333332,80.0,15,8189.849999999999
0,SemiSwipe,4,7879.96,6.222222222222223,4.888888888888889,0.4058733333333333,171.74266666666665,80.0,15,9849.949999999999
0,SemiSwipe,6,9701.293333333333,1.9047619047619049,7.047619047619048,0.4805,161.43666666666667,53.333333333333336,15,18189.925
0,SemiTilt,2,7155.366666666667,2.2222222222222223,22.22222222222222,0.33252,165.83933333333334,60.0,15,11925.611111111111
0,SemiTilt,4,8315.713333333333,4.0,4.0,0.4320866666666667,138.42733333333334,80.0,15,10394.641666666666
0,SemiTilt,6,9547.026666666667,3.571428571428571,9.142857142857142,0.3860133333333333,134.194,46.666666666666664,15,20457.914285714287
1,FullDH,2,7771.006666666667,0.0,15.555555555555555,0.48602666666666666,153.804,66.66666666666666,15,11656.510000000004
1,FullDH,4,9265.26,5.333333333333333,11.777777777777779,0.34376666666666666,150.23999999999998,60.0,15,15442.1
1,FullDH,6,10730.5,1.9047619047619049,7.365079365079366,0.4028066666666667,166.3646666666667,60.0,15,17884.166666666668
1,SemiDwell,2,8495.226666666666,2.2222222222222223,24.444444444444446,0.4593933333333334,166.696,53.333333333333336,15,15928.549999999997
1,SemiDwell,4,10030.579999999998,4.0,10.444444444444446,0.4161066666666667,142.81666666666666,66.66666666666666,15,15045.87
1,SemiDwell,6,11322.26,4.761904761904762,13.142857142857142,0.33168000000000003,139.96,40.0,15,28305.649999999998
1,SemiNDH,2,8181.14,0.0,22.222222222222225,0.4429133333333333,164.5993333333333,60.0,15,13635.233333333334
1,SemiNDH,4,9768.5,4.0,7.555555555555556,0.40686,135.54266666666666,66.66666666666666,15,14652.750000000004
1,SemiNDH,6,11343.873333333333,7.936507936507937,6.412698412698413,0.40346,147.36333333333332,66.66666666666666,15,17015.810000000005
1,SemiSwipe,2,8326.042857142858,2.380952380952381,9.523809523809524,0.3402785714285714,168.13642857142855,85.71428571428571,14,9713.716666666669
1,SemiSwipe,4,10017.16,2.6666666666666665,8.88888888888889,0.35124666666666665,149.6906666666667,60.0,15,16695.266666666666
1,SemiSwipe,6,11552.26,2.857142857142857,3.619047619047619,0.4163733333333333,178.52866666666665,80.0,15,14440.324999999999
1,SemiTilt,2,8990.186666666666,3.3333333333333335,8.88888888888889,0.4229733333333333,119.962,73.33333333333333,15,12259.345454545455
1,SemiTilt,4,10181.586666666666,1.3333333333333333,4.888888888888889,0.39679333333333333,149.852,80.0,15,12726.983333333332
1,SemiTilt,6,11697.813333333334,0.9523809523809524,4.190476190476191,0.38447333333333333,156.59266666666664,73.33333333333333,15,15951.563636363639
2,FullDH,2,6508.553333333333,0.0,17.77777777777778,0.42791333333333337,148.8046666666667,73.33333333333333,15,8875.300000000001
2,FullDH,4,7951.413333333333,6.222222222222223,4.0,0.4240933333333333,140.804,80.0,15,9939.266666666666
2,FullDH,6,9496.733333333334,1.9047619047619049,3.8095238095238098,0.36743333333333333,154.09,73.33333333333333,15,12950.09090909091
2,SemiDwell,2,7276.5599999999995,4.444444444444445,6.666666666666667,0.46503333333333335,163.06,80.0,15,9095.699999999999
2,SemiDwell,4,8432.146666666666,5.333333333333333,7.555555555555556,0.40137999999999996,150.934,66.66666666666666,15,12648.220000000001
2,SemiDwell,6,9950.413333333334,4.761904761904762,9.968253968253968,0.3741066666666667,162.11599999999999,53.333333333333336,15,18657.025
2,SemiNDH,2,6979.12,3.3333333333333335,17.77777777777778,0.43887333333333334,144.93066666666667,60.0,15,11631.866666666667
2,SemiNDH,4,8070.240000000001,4.888888888888889,13.777777777777779,0.36267333333333335,129.624,60.0,15,13450.400000000001
