dv,factor,a,b,mean_a,mean_b,diff,stat_kind,stat,p_uncorrected,p_bonferroni,n_pairs_in_family
tct_ms,technique,FullDH,SemiDwell,7888.346740740741,8394.749999999998,-506.40325925925754,t,-22.651789650861463,5.47931241895106e-20,5.47931241895106e-19,10
tct_ms,technique,FullDH,SemiNDH,7888.346740740741,8147.40948148148,-259.0627407407392,t,-11.201387975346568,4.736441736408745e-12,4.736441736408745e-11,10
tct_ms,technique,FullDH,SemiSwipe,7888.346740740741,8664.925291005291,-776.5785502645504,t,-33.29297689956815,1.1645174641901505e-24,1.1645174641901505e-23,10
tct_ms,technique,FullDH,SemiTilt,7888.346740740741,8906.774529100529,-1018.4277883597879,t,-47.92962011586146,3.6124574219711926e-29,3.6124574219711928e-28,10
tct_ms,technique,SemiDwell,SemiNDH,8394.749999999998,8147.40948148148,247.34051851851837,t,10.492987413704695,2.190525604395191e-11,2.190525604395191e-10,10
tct_ms,technique,SemiDwell,SemiSwipe,8394.749999999998,8664.925291005291,-270.1752910052928,t,-11.473297649719632,2.674373794622802e-12,2.674373794622802e-11,10
tct_ms,technique,SemiDwell,SemiTilt,8394.749999999998,8906.774529100529,-512.0245291005303,t,-21.767479670266752,1.6341548215690928e-19,1.6341548215690927e-18,10
tct_ms,technique,SemiNDH,SemiSwipe,8147.40948148148,8664.925291005291,-517.5158095238112,t,-21.31766571842772,2.8927251699848987e-19,2.892725169984899e-18,10
tct_ms,technique,SemiNDH,SemiTilt,8147.40948148148,8906.774529100529,-759.3650476190487,t,-30.38527286558805,1.5348234277817845e-23,1.5348234277817845e-22,10
tct_ms,technique,SemiSwipe,SemiTilt,8664.925291005291,8906.774529100529,-241.84923809523752,t,-10.443720673451228,2.4423749488572927e-11,2.4423749488572927e-10,10
tct_ms,target_number,2,4,6980.31326984127,8402.740533333334,-1422.4272634920635,t,-84.2322151557459,3.2213821596276965e-36,9.66414647888309e-36,3
tct_ms,target_number,2,6,6980.31326984127,9818.269822222219,-2837.956552380949,t,-132.17546430608596,7.051584992634725e-42,2.1154754977904172e-41,3
tct_ms,target_number,4,6,8402.740533333334,9818.269822222219,-1415.5292888888853,t,-66.58367744458063,2.8468819669696466e-33,8.54064590090894e-33,3
accidental_ratio,technique,FullDH,SemiDwell,3.8830687830687842,3.8292768959435626,0.05379188712522165,W,229.0,0.9426074825817241,1.0,10
accidental_ratio,technique,FullDH,SemiNDH,3.8830687830687842,3.9763508096841425,-0.09328202661535823,W,227.0,0.9192965272814035,1.0,10
accidental_ratio,technique,FullDH,SemiSwipe,3.8830687830687842,4.262610229276897,-0.37954144620811237,W,181.0,0.2988441474735737,1.0,10
accidental_ratio,technique,FullDH,SemiTilt,3.8830687830687842,3.4971781305114638,0.38589065255732047,W,162.0,0.15188691951334476,1.0,10
accidental_ratio,technique,SemiDwell,SemiNDH,3.8292768959435626,3.9763508096841425,-0.14707391374057988,W,230.0,0.9589890887069709,1.0,10
accidental_ratio,technique,SemiDwell,SemiSwipe,3.8292768959435626,4.262610229276897,-0.433333333333334,W,179.0,0.28008678182959557,1.0,10
accidental_ratio,technique,SemiDwell,SemiTilt,3.8292768959435626,3.4971781305114638,0.3320987654320988,W,173.0,0.22855282202363014,1.0,10
accidental_ratio,technique,SemiNDH,SemiSwipe,3.9763508096841425,4.262610229276897,-0.28625941959275414,W,166.0,0.26545303243391527,1.0,10
accidental_ratio,technique,SemiNDH,SemiTilt,3.9763508096841425,3.4971781305114638,0.4791726791726787,W,150.0,0.09194962680339813,0.9194962680339813,10
accidental_ratio,technique,SemiSwipe,SemiTilt,4.262610229276897,3.4971781305114638,0.7654320987654328,W,111.0,0.021282319155343083,0.21282319155343082,10
accidental_ratio,target_number,2,4,3.677671957671959,3.8400000000000003,-0.1623280423280411,W,170.5,0.4592276485870532,1.0,3
accidental_ratio,target_number,2,6,3.677671957671959,4.151418951418951,-0.47374699374699203,W,149.0,0.08587095353025363,0.2576128605907609,3
accidental_ratio,target_number,4,6,3.8400000000000003,4.151418951418951,-0.31141895141895093,W,159.0,0.1305814624272777,0.3917443872818331,3
