participant,block,technique,target_number,repetition,tct_ms,n_subselections,n_distractors_subselected,n_targets_missed,n_distractors_final,n_grouped_final,hand_movement_m,hand_rotation_deg
0,0,FullDH,2,0,4380.8,2,0,0,1,3,0.3907,133.73
0,0,FullDH,4,0,3813.3,4,0,1,0,3,0.1924,248.48
0,0,FullDH,6,0,5246.1,6,0,0,0,6,0.4622,168.97
0,0,FullDH,2,1,4571.9,2,0,0,0,2,0.4507,170.23
0,0,FullDH,4,1,4865.1,4,0,0,1,5,0.2347,98.05
0,0,FullDH,6,1,4787.9,6,0,0,0,6,0.3507,70.07
0,0,FullDH,2,2,5138.3,2,0,0,0,2,0.4068,160.11
0,0,FullDH,4,2,4666.5,5,1,0,0,4,0.3618,125.47
0,0,FullDH,6,2,4465.6,6,0,0,0,6,0.492,161.66
0,0,FullDH,2,3,4200.4,2,0,0,1,3,0.3516,188.06
0,0,FullDH,4,3,5108.9,4,0,0,0,4,0.5538,123.44
0,0,FullDH,6,3,4967.8,6,0,0,1,7,0.3442,155.25
0,0,FullDH,2,4,4803.5,2,0,0,1,3,0.441,194.47
0,0,FullDH,4,4,5052.8,4,0,0,1,5,0.3998,173.95
0,0,FullDH,6,4,5796.9,6,0,1,1,6,0.3436,141.59
0,0,FullDH,2,5,4405.5,3,1,0,0,2,0.3376,176.04
0,0,FullDH,4,5,5061.5,4,0,0,0,4,0.3362,67.28
0,0,FullDH,6,5,3968.1,6,0,1,0,5,0.4235,181.02
0,0,FullDH,2,6,3876.7,2,0,0,1,3,0.0899,207.65
0,0,FullDH,4,6,4618.2,4,0,0,0,4,0.5207,94.86
0,0,FullDH,6,6,3714.3,7,1,0,0,6,0.4297,227.38
0,0,FullDH,2,7,4671.0,2,0,0,0,2,0.4539,237.26
0,0,FullDH,4,7,4333.4,4,0,0,0,4,0.8299,132.44
0,0,FullDH,6,7,4630.8,7,1,1,0,5,0.3702,203.44
0,0,FullDH,2,8,3699.9,2,0,0,0,2,0.4329,138.6
0,0,FullDH,4,8,4186.8,4,0,0,0,4,0.2567,70.5
0,0,FullDH,6,8,4773.6,6,0,0,0,6,0.639,157.18
0,0,FullDH,2,9,4622.3,2,0,0,0,2,0.1749,240.11
0,0,FullDH,4,9,5083.3,4,0,0,0,4,0.3125,127.21
0,0,FullDH,6,9,4790.3,6,0,0,0,6,0.1495,169.25
0,0,FullDH,2,10,4512.1,3,1,0,0,2,0.4323,119.75
0,0,FullDH,4,10,2603.3,4,0,0,0,4,0.5522,52.7
0,0,FullDH,6,10,4334.4,6,0,2,0,4,0.3573,213.03
0,0,FullDH,2,11,4860.3,2,0,0,1,3,0.2575,108.28
0,0,FullDH,4,11,4677.6,4,0,1,0,3,0.488,176.51
