participant,block,technique,target_number,repetition,tct_ms,n_subselections,n_distractors_subselected,n_targets_missed,n_distractors_final,n_grouped_final,hand_movement_m,hand_rotation_deg
0,0,FullDH,2,0,5780.8,2,0,0,1,3,0.3907,133.73
0,0,FullDH,4,0,6613.3,4,0,1,0,3,0.1924,248.48
0,0,FullDH,6,0,9446.1,6,0,0,0,6,0.4622,168.97
0,0,FullDH,2,1,5971.9,2,0,0,0,2,0.4507,170.23
0,0,FullDH,4,1,7665.1,4,0,0,1,5,0.2347,98.05
0,0,FullDH,6,1,8987.9,6,0,0,0,6,0.3507,70.07
0,0,FullDH,2,2,6538.3,2,0,0,0,2,0.4068,160.11
0,0,FullDH,4,2,7466.5,5,1,0,0,4,0.3618,125.47
0,0,FullDH,6,2,8665.6,6,0,0,0,6,0.492,161.66
0,0,FullDH,2,3,5600.4,2,0,0,1,3,0.3516,188.06
0,0,FullDH,4,3,7908.9,4,0,0,0,4,0.5538,123.44
0,0,FullDH,6,3,9167.8,6,0,0,1,7,0.3442,155.25
0,0,FullDH,2,4,6203.5,2,0,0,1,3,0.441,194.47
0,0,FullDH,4,4,7852.8,4,0,0,1,5,0.3998,173.95
0,0,FullDH,6,4,9996.9,6,0,1,1,6,0.3436,141.59
0,0,FullDH,2,5,5805.5,3,1,0,0,2,0.3376,176.04
0,0,FullDH,4,5,7861.5,4,0,0,0,4,0.3362,67.28
0,0,FullDH,6,5,8168.1,6,0,1,0,5,0.4235,181.02
0,0,FullDH,2,6,5276.7,2,0,0,1,3,0.0899,207.65
0,0,FullDH,4,6,7418.2,4,0,0,0,4,0.5207,94.86
0,0,FullDH,6,6,7914.3,7,1,0,0,6,0.4297,227.38
0,0,FullDH,2,7,6071.0,2,0,0,0,2,0.4539,237.26
0,0,FullDH,4,7,7133.4,4,0,0,0,4,0.8299,132.44
0,0,FullDH,6,7,8830.8,7,1,1,0,5,0.3702,203.44
0,0,FullDH,2,8,5099.9,2,0,0,0,2,0.4329,138.6
0,0,FullDH,4,8,6986.8,4,0,0,0,4,0.2567,70.5
0,0,FullDH,6,8,8973.6,6,0,0,0,6,0.639,157.18
0,0,FullDH,2,9,6022.3,2,0,0,0,2,0.1749,240.11
0,0,FullDH,4,9,7883.3,4,0,0,0,4,0.3125,127.21
0,0,FullDH,6,9,8990.3,6,0,0,0,6,0.1495,169.25
0,0,FullDH,2,10,5912.1,3,1,0,0,2,0.4323,119.75
0,0,FullDH,4,10,5403.3,4,0,0,0,4,0.5522,52.7
0,0,FullDH,6,10,8534.4,6,0,2,0,4,0.3573,213.03
0,0,FullDH,2,11,6260.3,2,0,0,1,3,0.2575,108.28
0,0,FullDH,4,11,7477.6,4,0,1,0,3,0.488,176.51
0,0,FullDH,6,11,8027.3,6,0,0,0,6,0.4306,101.84
0,0,FullDH,2,12,5041.6,2,0,0,0,2,0.4351,95.78
0,0,FullDH,4,12,6868.7,4,0,0,0,4,0.476,140.06
0,0,FullDH,6,12,8976.4,6,0,0,0,6,0.3599,129.59
0,0,FullDH,2,13,7020.2,2,0,0,1,3,0.6163,182.6
0,0,FullDH,4,13,7675.4,4,0,0,0,4,0.6706,181.66
0,0,FullDH,6,13,7564.8,8,2,2,0,4,0.395,88.75
0,0,FullDH,2,14,4749.1,2,0,0,0,2,0.2871,260.63
0,0,FullDH,4,14,7667.3,4,0,0,0,4,0.2993,159.31
0,0,FullDH,6,14,7857.6,6,0,0,1,7,0.2089,195.89
0,1,SemiTilt,2,0,7744.6,2,0,0,0,2,0.3759,219.52
0,1,SemiTilt,4,0,8091.2,4,0,0,0,4,0.4974,138.57
0,1,SemiTilt,6,0,9302.7,6,0,0,0,6,0.1971,191.84
0,1,SemiTilt,2,1,6691.5,2,0,1,1,2,0.2284,182.31
0,1,SemiTilt,4,1,7858.4,5,1,0,0,4,0.4146,100.58
0,1,SemiTilt,6,1,9541.9,6,0,0,1,7,0.4921,126.78
0,1,SemiTilt,2,2,6962.4,2,0,0,0,2,0.4725,205.0
0,1,SemiTilt,4,2,7775.5,4,0,0,0,4,0.4048,149.23
0,1,SemiTilt,6,2,9881.1,6,0,0,0,6,0.304,147.6
0,1,SemiTilt,2,3,6895.1,2,0,0,0,2,0.5843,84.23
0,1,SemiTilt,4,3,8603.3,4,0,0,0,4,0.4128,126.65
0,1,SemiTilt,6,3,9694.6,6,0,1,0,5,0.4783,196.26
0,1,SemiTilt,2,4,6377.9,2,0,0,0,2,0.0044,134.55
0,1,SemiTilt,4,4,8342.2,4,0,0,0,4,0.3913,81.45
0,1,SemiTilt,6,4,9399.5,7,1,1,0,5,0.5648,261.21
0,1,SemiTilt,2,5,7659.9,2,0,0,0,2,0.4439,133.11
0,1,SemiTilt,4,5,8307.2,4,0,0,0,4,0.5959,164.91
0,1,SemiTilt,6,5,9584.7,6,0,0,0,6,0.2313,6.22
0,1,SemiTilt,2,6,7591.1,2,0,0,0,2,0.2333,195.19
0,1,SemiTilt,4,6,8244.1,4,0,0,1,5,0.3208,144.16
0,1,SemiTilt,6,6,9932.0,6,0,0,0,6,0.4696,150.4
0,1,SemiTilt,2,7,7497.2,2,0,0,1,3,0.3611,172.3
0,1,SemiTilt,4,7,9083.9,4,0,0,0,4,0.3699,145.41
0,1,SemiTilt,6,7,9903.4,6,0,1,0,5,0.3371,152.81
0,1,SemiTilt,2,8,7475.4,2,0,0,1,3,0.4511,254.02
0,1,SemiTilt,4,8,8219.2,4,0,0,0,4,0.2876,145.64
0,1,SemiTilt,6,8,9122.2,6,0,0,1,7,0.2536,128.68
0,1,SemiTilt,2,9,6881.7,2,0,0,0,2,0.4257,107.94
0,1,SemiTilt,4,9,8005.5,5,1,0,0,4,0.5555,151.39
0,1,SemiTilt,6,9,10272.3,6,0,0,0,6,0.5397,58.99
0,1,SemiTilt,2,10,8638.7,2,0,0,1,3,0.3801,158.14
0,1,SemiTilt,4,10,7995.1,4,0,0,1,5,0.3725,186.85
0,1,SemiTilt,6,10,10024.3,6,0,0,1,7,0.4162,122.36
0,1,SemiTilt,2,11,6986.2,3,1,0,0,2,0.1943,107.27
0,1,SemiTilt,4,11,8810.0,4,0,0,0,4,0.3702,187.38
0,1,SemiTilt,6,11,9394.9,7,1,0,0,6,0.5041,61.37
0,1,SemiTilt,2,12,7002.3,2,0,0,0,2,0.47,191.19
0,1,SemiTilt,4,12,8114.8,5,1,0,0,4,0.656,135.77
0,1,SemiTilt,6,12,8552.4,6,0,1,0,5,0.1615,231.9
0,1,SemiTilt,2,13,6477.1,2,0,1,0,1,0.145,207.47
0,1,SemiTilt,4,13,8333.6,4,0,0,1,5,0.4055,135.3
0,1,SemiTilt,6,13,8477.0,8,2,0,1,7,0.4081,34.58
0,1,SemiTilt,2,14,6449.4,2,0,0,1,3,0.2178,135.35
0,1,SemiTilt,4,14,8951.7,4,0,0,0,4,0.4265,83.12
0,1,SemiTilt,6,14,10122.4,6,0,0,0,6,0.4327,141.91
0,2,SemiNDH,2,0,6994.5,2,0,0,0,2,0.2928,173.41
0,2,SemiNDH,4,0,7668.2,4,0,0,0,4,0.4098,237.61
0,2,SemiNDH,6,0,9827.2,6,0,0,0,6,0.4756,170.33
0,2,SemiNDH,2,1,6840.0,2,0,0,0,2,0.4166,149.34
0,2,SemiNDH,4,1,7464.0,4,0,0,0,4,0.1199,95.02
0,2,SemiNDH,6,1,9022.8,7,1,0,0,6,0.4602,111.02
0,2,SemiNDH,2,2,5102.9,2,0,0,1,3,0.4956,112.29
0,2,SemiNDH,4,2,7673.3,4,0,0,0,4,0.4339,86.14
0,2,SemiNDH,6,2,8533.9,6,0,1,0,5,0.2578,77.23
0,2,SemiNDH,2,3,4726.0,2,0,0,0,2,0.1769,106.48
0,2,SemiNDH,4,3,7365.7,4,0,0,0,4,0.3732,56.46
0,2,SemiNDH,6,3,8471.9,6,0,1,0,5,0.2487,146.03
0,2,SemiNDH,2,4,5149.3,2,0,0,0,2,0.0854,128.29
0,2,SemiNDH,4,4,7550.8,6,2,0,1,5,0.5149,103.12
0,2,SemiNDH,6,4,8515.3,6,0,0,0,6,0.5391,84.82
0,2,SemiNDH,2,5,5847.9,2,0,0,0,2,0.3743,60.55
0,2,SemiNDH,4,5,8484.0,4,0,0,0,4,0.5195,204.97
0,2,SemiNDH,6,5,7381.9,7,1,1,0,5,0.3549,132.18
0,2,SemiNDH,2,6,5771.9,2,0,0,0,2,0.4053,160.23
0,2,SemiNDH,4,6,7560.4,4,0,0,0,4,0.1738,20.54
