participant,technique,measure,score
0,FullDH,sus,6
0,FullDH,mental,4
0,FullDH,physical,3
0,FullDH,temporal,1
0,FullDH,performance,0
0,FullDH,effort,1
0,FullDH,frustration,2
0,FullDH,satisfaction,1
0,SemiNDH,sus,3
0,SemiNDH,mental,0
0,SemiNDH,physical,2
0,SemiNDH,temporal,3
0,SemiNDH,performance,5
0,SemiNDH,effort,5
0,SemiNDH,frustration,4
0,SemiNDH,satisfaction,4
0,SemiDwell,sus,6
0,SemiDwell,mental,6
0,SemiDwell,physical,5
0,SemiDwell,temporal,6
0,SemiDwell,performance,2
0,SemiDwell,effort,3
0,SemiDwell,frustration,1
0,SemiDwell,satisfaction,0
0,SemiSwipe,sus,5
0,SemiSwipe,mental,0
0,SemiSwipe,physical,1
0,SemiSwipe,temporal,1
0,SemiSwipe,performance,6
0,SemiSwipe,effort,3
0,SemiSwipe,frustration,2
0,SemiSwipe,satisfaction,6
0,SemiTilt,sus,4
0,SemiTilt,mental,1
0,SemiTilt,physical,5
0,SemiTilt,temporal,2
0,SemiTilt,performance,1
0,SemiTilt,effort,2
0,SemiTilt,frustration,1
0,SemiTilt,satisfaction,6
1,FullDH,sus,4
1,FullDH,mental,5
1,FullDH,physical,2
1,FullDH,temporal,3
1,FullDH,performance,4
1,FullDH,effort,2
1,FullDH,frustration,0
1,FullDH,satisfaction,5
1,SemiNDH,sus,0
1,SemiNDH,mental,3
1,SemiNDH,physical,1
1,SemiNDH,temporal,0
1,SemiNDH,performance,4
1,SemiNDH,effort,4
1,SemiNDH,frustration,1
1,SemiNDH,satisfaction,5
1,SemiDwell,sus,3
1,SemiDwell,mental,5
1,SemiDwell,physical,4
1,SemiDwell,temporal,3
1,SemiDwell,performance,2
1,SemiDwell,effort,4
1,SemiDwell,frustration,0
1,SemiDwell,satisfaction,2
1,SemiSwipe,sus,6
1,SemiSwipe,mental,0
1,SemiSwipe,physical,1
1,SemiSwipe,temporal,3
1,SemiSwipe,performance,3
1,SemiSwipe,effort,2
1,SemiSwipe,frustration,1
1,SemiSwipe,satisfaction,0
1,SemiTilt,sus,5
1,SemiTilt,mental,1
1,SemiTilt,physical,2
1,SemiTilt,temporal,2
1,SemiTilt,performance,3
1,SemiTilt,effort,2
1,SemiTilt,frustration,3
1,SemiTilt,satisfaction,5
2,FullDH,sus,6
2,FullDH,mental,0
2,FullDH,physical,2
2,FullDH,temporal,1
2,FullDH,performance,3
2,FullDH,effort,2
2,FullDH,frustration,2
2,FullDH,satisfaction,1
2,SemiNDH,sus,2
2,SemiNDH,mental,6
2,SemiNDH,physical,4
2,SemiNDH,temporal,4
2,SemiNDH,performance,3
2,SemiNDH,effort,2
2,SemiNDH,frustration,4
2,SemiNDH,satisfaction,1
2,SemiDwell,sus,0
2,SemiDwell,mental,3
2,SemiDwell,physical,1
2,SemiDwell,temporal,6
2,SemiDwell,performance,2
2,SemiDwell,effort,4
2,SemiDwell,frustration,2
2,SemiDwell,satisfaction,5
2,SemiSwipe,sus,6
2,SemiSwipe,mental,3
2,SemiSwipe,physical,6
2,SemiSwipe,temporal,4
2,SemiSwipe,performance,5
2,SemiSwipe,effort,3
2,SemiSwipe,frustration,4
2,SemiSwipe,satisfaction,5
2,SemiTilt,sus,5
2,SemiTilt,mental,2
2,SemiTilt,physical,1
2,SemiTilt,temporal,1
2,SemiTilt,performance,6
2,SemiTilt,effort,0
2,SemiTilt,frustration,1
2,SemiTilt,satisfaction,1
3,FullDH,sus,3
3,FullDH,mental,6
3,FullDH,physical,2
3,FullDH,temporal,3
3,FullDH,performance,2
3,FullDH,effort,4
3,FullDH,frustration,2
3,FullDH,satisfaction,1
3,SemiNDH,sus,1
3,SemiNDH,mental,3
3,SemiNDH,physical,2
3,SemiNDH,temporal,1
3,SemiNDH,performance,2
3,SemiNDH,effort,5
3,SemiNDH,frustration,6
3,SemiNDH,satisfaction,2
3,SemiDwell,sus,0
3,SemiDwell,mental,5
3,SemiDwell,physical,2
3,SemiDwell,temporal,4
3,SemiDwell,performance,0
3,SemiDwell,effort,0
3,SemiDwell,frustration,1
3,SemiDwell,satisfaction,1
3,SemiSwipe,sus,0
3,SemiSwipe,mental,4
3,SemiSwipe,physical,0
3,SemiSwipe,temporal,2
3,SemiSwipe,performance,4
3,SemiSwipe,effort,3
3,SemiSwipe,frustration,1
3,SemiSwipe,satisfaction,6
3,SemiTilt,sus,3
3,SemiTilt,mental,3
3,SemiTilt,physical,3
3,SemiTilt,temporal,5
3,SemiTilt,performance,0
3,SemiTilt,effort,4
3,SemiTilt,frustration,2
3,SemiTilt,satisfaction,3
4,FullDH,sus,5
4,FullDH,mental,6
4,FullDH,physical,5
4,FullDH,temporal,0
4,FullDH,performance,2
4,FullDH,effort,0
4,FullDH,frustration,0
4,FullDH,satisfaction,4
4,SemiNDH,sus,3
4,SemiNDH,mental,0
4,SemiNDH,physical,1
4,SemiNDH,temporal,1
4,SemiNDH,performance,6
4,SemiNDH,effort,4
4,SemiNDH,frustration,5
4,SemiNDH,satisfaction,3
4,SemiDwell,sus,2
4,SemiDwell,mental,1
4,SemiDwell,physical,2
4,SemiDwell,temporal,0
4,SemiDwell,performance,4
4,SemiDwell,effort,5
4,SemiDwell,frustration,6
4,SemiDwell,satisfaction,6
4,SemiSwipe,sus,4
4,SemiSwipe,mental,0
4,SemiSwipe,physical,3
4,SemiSwipe,temporal,4
4,SemiSwipe,performance,5
4,SemiSwipe,effort,3
4,SemiSwipe,frustration,4
4,SemiSwipe,satisfaction,4
4,SemiTilt,sus,5
4,SemiTilt,mental,3
4,SemiTilt,physical,3
4,SemiTilt,temporal,3
4,SemiTilt,performance,1
4,SemiTilt,effort,1
4,SemiTilt,frustration,0
4,SemiTilt,satisfaction,5
5,FullDH,sus,2
5,FullDH,mental,6
5,FullDH,physical,6
5,FullDH,temporal,5
5,FullDH,performance,6
5,FullDH,effort,1
5,FullDH,frustration,2
5,FullDH,satisfaction,4
5,SemiNDH,sus,0
5,SemiNDH,mental,5
5,SemiNDH,physical,5
5,SemiNDH,temporal,2
5,SemiNDH,performance,5
5,SemiNDH,effort,3
5,SemiNDH,frustration,2
5,SemiNDH,satisfaction,1
5,SemiDwell,sus,2
5,SemiDwell,mental,1
5,SemiDwell,physical,3
5,SemiDwell,temporal,0
5,SemiDwell,performance,6
5,SemiDwell,effort,4
5,SemiDwell,frustration,0
5,SemiDwell,satisfaction,2
5,SemiSwipe,sus,0
5,SemiSwipe,mental,5
5,SemiSwipe,physical,5
5,SemiSwipe,temporal,1
5,SemiSwipe,performance,0
5,SemiSwipe,effort,1
5,SemiSwipe,frustration,4
5,SemiSwipe,satisfaction,2
5,SemiTilt,sus,4
5,SemiTilt,mental,3
5,SemiTilt,physical,0
5,SemiTilt,temporal,5
5,SemiTilt,performance,1
5,SemiTilt,effort,5
5,SemiTilt,frustration,4
5,SemiTilt,satisfaction,3
6,FullDH,sus,6
6,FullDH,mental,6
6,FullDH,physical,5
6,FullDH,temporal,0
6,FullDH,performance,2
6,FullDH,effort,3
6,FullDH,frustration,5
6,FullDH,satisfaction,4
6,SemiNDH,sus,4
6,SemiNDH,mental,6
6,SemiNDH,physical,5
6,SemiNDH,temporal,6
6,SemiNDH,performance,3
6,SemiNDH,effort,4
6,SemiNDH,frustration,4
6,SemiNDH,satisfaction,0
6,SemiDwell,sus,2
6,SemiDwell,mental,3
6,SemiDwell,physical,2
6,SemiDwell,temporal,3
6,SemiDwell,performance,5
6,SemiDwell,effort,5
6,SemiDwell,frustration,4
